Year,Total citations
1971,1
1972,5
1973,6
1974,6
1975,9
1976,9
1977,11
1978,12
1979,34
1980,46
1981,58
1982,47
1983,47
1984,61
1985,40
1986,42
1987,44
1988,83
1989,68
1990,67
1991,88
1992,68
1993,120
1994,107
1995,112
1996,116
1997,189
1998,171
1999,157
2000,207
2001,222
2002,261
2003,267
2004,276
2005,321
2006,361
2007,386
2008,442
2009,434
2010,406
2011,451
2012,527
2013,588
2014,504
2015,438
2016,391
2017,411
2018,354
2019,418
2020,349
2021,356
