sys_RespNum,Gender,Age,Education,CountryNames,CountryNamesFull,Screening1,Screening2,Screening3,Screening4,Screening5,Screening6,Screening7,ProductionUnacceptable,TurkeyUnacceptable,BangladeshUnacceptable,SpainUnacceptable,QualityUnacceptable,ProUnStrength,TurUnStrength,BangUnStrength,SpaUStrength,QuUnStrength,FreqSQ3,FreqSQ4,FreqSQ5,FreqSQ6,FreqSQ7,BinaryViolationSQ3,BinaryViolationSQ4,BinaryViolationSQ5,BinaryViolationSQ6,BinaryViolationSQ7,FreqViolationSQ3,FreqViolationSQ4,FreqViolationSQ5,FreqViolationSQ6,FreqViolationSQ7,PriceImportance,QualityImportance,MaterialImportance,ProductionImportance,COOImportance,TotalViolations
1,1.00,26.00,4.00,125,Netherlands (NLD),2.00,2.00,2.00,5.00,2.00,5.00,1.00,1.00,0.00,1.00,0.00,1.00,4.00,1.00,4.00,1.00,5.00,3.00,4.00,3.00,4.00,2.00,1.00,0.00,1.00,0.00,1.00,3.00,0.00,3.00,0.00,2.00,0.347,0.205,0.127,0.214,0.108,8.000
2,2.00,35.00,5.00,125,Netherlands (NLD),2.00,2.00,2.00,2.00,2.00,2.00,2.00,1.00,1.00,1.00,1.00,1.00,4.00,4.00,4.00,4.00,4.00,1.00,5.00,2.00,5.00,5.00,1.00,1.00,1.00,1.00,1.00,1.00,5.00,2.00,5.00,5.00,0.222,0.159,0.209,0.264,0.146,18.000
6,2.00,33.00,4.00,125,Netherlands (NLD),4.00,1.00,5.00,5.00,5.00,5.00,1.00,0.00,0.00,0.00,0.00,1.00,2.67,1.00,1.00,1.00,5.00,1.00,2.00,7.00,3.00,2.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,2.00,0.336,0.059,0.148,0.226,0.232,2.000
7,1.00,23.00,3.00,125,Netherlands (NLD),1.00,1.00,1.00,3.00,3.00,1.00,2.00,1.00,0.00,0.00,1.00,1.00,5.00,3.00,3.00,5.00,4.00,0.00,7.00,2.00,3.00,4.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,3.00,4.00,0.458,0.176,0.080,0.256,0.030,7.000
9,2.00,18.00,2.00,66,Germany (DEU),3.00,3.00,3.00,3.00,1.00,5.00,1.00,0.00,0.00,1.00,0.00,1.00,3.00,3.00,5.00,1.00,5.00,2.00,5.00,1.00,5.00,1.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,1.00,0.00,1.00,0.227,0.167,0.160,0.202,0.245,2.000
10,2.00,62.00,3.00,125,Netherlands (NLD),3.00,2.00,3.00,2.00,1.00,3.00,1.00,0.00,1.00,1.00,0.00,1.00,3.33,4.00,5.00,3.00,5.00,0.00,5.00,3.00,1.00,1.00,0.00,1.00,1.00,0.00,1.00,0.00,5.00,3.00,0.00,1.00,0.292,0.209,0.233,0.246,0.020,9.000
12,1.00,25.00,4.00,66,Germany (DEU),3.00,1.00,4.00,4.00,2.00,5.00,1.00,0.00,0.00,1.00,0.00,1.00,3.33,2.00,4.00,1.00,5.00,1.00,4.00,2.00,6.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.154,0.301,0.238,0.237,0.070,2.000
13,1.00,23.00,4.00,125,Netherlands (NLD),4.00,2.00,4.00,5.00,5.00,5.00,1.00,0.00,0.00,0.00,0.00,1.00,2.67,1.00,1.00,1.00,5.00,6.00,5.00,4.00,3.00,3.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,3.00,0.147,0.065,0.336,0.243,0.209,3.000
15,2.00,21.00,3.00,66,Germany (DEU),2.00,1.00,2.00,2.00,2.00,4.00,1.00,1.00,1.00,1.00,0.00,1.00,4.33,4.00,4.00,2.00,5.00,0.00,6.00,2.00,4.00,2.00,0.00,1.00,1.00,0.00,1.00,0.00,6.00,2.00,0.00,2.00,0.109,0.234,0.220,0.332,0.105,10.000
16,2.00,23.00,4.00,165,Spain (ESP),2.00,1.00,2.00,3.00,2.00,4.00,1.00,1.00,0.00,1.00,0.00,1.00,4.33,3.00,4.00,2.00,5.00,2.00,4.00,4.00,4.00,3.00,1.00,0.00,1.00,0.00,1.00,2.00,0.00,4.00,0.00,3.00,0.449,0.264,0.066,0.117,0.104,9.000
