sys_RespNum,10.00,20.00,30.00,40.00,3 months,12 months,36 months,cotton,jersey,polyester,normal,energy,recycled,workers health and welfare,Bangladesh,turkey,spain,Price,Quality,Material,Production,Country of Origin,Price,Quality,Material,Production,Country of Origin
1,26.44184,6.08895,-19.20898,-13.32181,-14.52614,2.10855,12.41759,-5.85916,10.8363,-4.97715,-8.57011,16.61636,3.47507,-11.52132,-0.84894,7.5073,-6.65836,45.65082,26.94373,16.69546,28.13768,14.16566,34.69%,20.47%,12.69%,21.38%,10.76%
2,13.89552,8.17259,-10.85276,-11.21535,9.23133,-8.73042,-0.50092,-11.54328,12.10509,-0.56181,-19.65079,3.14133,10.15122,6.35825,-10.57235,4.60924,5.96311,25.11087,17.96175,23.64837,29.80201,16.53546,22.21%,15.89%,20.92%,26.36%,14.63%
6,12.40075,10.70199,0.32883,-23.43157,3.03981,-3.20425,0.16443,6.36696,3.06871,-9.43567,-14.5544,-3.8301,9.54854,8.83596,11.58293,-13.12186,1.53893,35.83232,6.24406,15.80263,24.10294,24.70479,33.59%,5.85%,14.81%,22.59%,23.16%
7,15.44032,9.49268,-9.80124,-15.13176,0.04341,-5.89987,5.85646,-3.15187,2.21277,0.9391,-9.46514,7.62076,-2.74878,4.59316,-1.20198,0.76845,0.43353,30.57208,11.75633,5.36464,17.0859,1.97043,45.80%,17.61%,8.04%,25.60%,2.95%
9,14.18791,8.02584,8.4123,-30.62605,-16.07213,-0.89445,16.96658,12.76846,6.03934,-18.80781,-23.30316,16.61154,-6.26282,12.95444,-27.41119,21.0508,6.36039,44.81396,33.03871,31.57627,39.9147,48.46199,22.66%,16.70%,15.96%,20.18%,24.50%
10,99.19227,-13.00899,12.67881,-98.86209,-78.53959,15.12455,63.41504,66.41783,25.0517,-91.46953,-105.55745,-10.03059,61.49635,54.09168,8.21663,-5.50445,-2.71217,198.05436,141.95463,157.88736,167.0538,13.72108,29.18%,20.92%,23.26%,24.61%,2.02%
12,4.23953,6.18562,0.92174,-11.34689,-14.89117,-4.59145,19.48261,16.57471,-10.56718,-6.00754,-12.47172,-9.76518,14.55466,7.68224,-4.65499,3.37216,1.28283,17.53251,34.37378,27.14189,27.02638,8.02715,15.37%,30.13%,23.79%,23.69%,7.04%
13,-4.11743,9.21958,-1.87301,-3.22914,-3.10627,0.31604,2.79023,7.75649,11.39543,-19.15192,10.00643,-12.05158,3.02063,-0.97547,-9.60898,9.38445,0.22453,13.33701,5.8965,30.54735,22.05801,18.99343,14.68%,6.49%,33.63%,24.28%,20.91%
15,6.32106,3.88804,-0.95277,-9.25633,-16.1267,-1.18636,17.31306,1.10079,-16.27822,15.17743,-28.75075,-6.23384,16.21858,18.76602,3.57438,-9.32619,5.75181,15.57739,33.43976,31.45565,47.51677,15.078,10.89%,23.37%,21.99%,33.21%,10.54%
16,33.06493,10.88544,-13.31096,-30.63941,-21.73283,5.95735,15.77548,0.75734,-5.08975,4.33241,1.30506,1.33119,-9.58953,6.95328,5.8768,2.99478,-8.87158,63.70434,37.50831,9.42216,16.54281,14.74838,44.89%,26.43%,6.64%,11.66%,10.39%
19,24.67158,-3.13154,-3.05804,-18.48201,-6.91964,1.84509,5.07455,-2.30966,0.0361,2.27356,3.93232,-0.53208,-2.11712,-1.28312,-1.21635,-0.4105,1.62685,43.15359,11.99419,4.58322,6.04944,2.8432,62.88%,17.48%,6.68%,8.82%,4.14%
